"vector:0","vector:1","vector:2","scalar1","scalar2","scalar3","arc_length","Points:0","Points:1","Points:2"
-0.15404,-0.15404,0,8.3585e-14,8.3585e-14,8.3585e-14,6.1459,1.4267,-0.46212,0
-0.15945,-0.15945,0,8.5818e-14,8.5818e-14,8.5818e-14,6.1631,1.4211,-0.47835,0
-0.1748,-0.1748,0,1.1041e-13,1.1041e-13,1.1041e-13,6.2119,1.405,-0.52441,0
-0.18154,-0.18154,0,1.0253e-13,1.0253e-13,1.0253e-13,6.2336,1.397,-0.54461,0
-0.19505,-0.19505,0,1.2395e-13,1.2395e-13,1.2395e-13,6.2773,1.3808,-0.58515,0
-0.21573,-0.21573,0,1.6058e-13,1.6058e-13,1.6058e-13,6.3453,1.3531,-0.6472,0
-0.21642,-0.21642,0,1.6962e-13,1.6962e-13,1.6962e-13,6.3475,1.3522,-0.64925,0
-0.21734,-0.21734,0,1.8302e-13,1.8302e-13,1.8302e-13,6.3506,1.3508,-0.65203,0
-0.23514,-0.23514,0,3.9126e-13,3.9126e-13,3.9126e-13,6.4107,1.3232,-0.70542,0
-0.24686,-0.24686,0,5.7728e-13,5.7728e-13,5.7728e-13,6.4506,1.3043,-0.74059,0
-0.24881,-0.24881,0,5.753e-13,5.753e-13,5.753e-13,6.4574,1.301,-0.74642,0
-0.25043,-0.25043,0,5.8252e-13,5.8252e-13,5.8252e-13,6.463,1.2981,-0.7513,0
-0.2668,-0.2668,0,5.5707e-13,5.5707e-13,5.5707e-13,6.5206,1.2679,-0.80039,0
-0.27612,-0.27612,0,6.7725e-13,6.7725e-13,6.7725e-13,6.5538,1.2502,-0.82836,0
-0.28038,-0.28038,0,6.9468e-13,6.9468e-13,6.9468e-13,6.5692,1.2415,-0.84115,0
-0.29238,-0.29238,0,6.8136e-13,6.8136e-13,6.8136e-13,6.6129,1.2167,-0.87713,0
-0.2935,-0.2935,0,6.8643e-13,6.8643e-13,6.8643e-13,6.6171,1.2143,-0.88051,0
-0.29395,-0.29395,0,7.0452e-13,7.0452e-13,7.0452e-13,6.6187,1.2133,-0.88185,0
-0.29506,-0.29506,0,6.7622e-13,6.7622e-13,6.7622e-13,6.6229,1.2109,-0.88517,0
-0.30658,-0.30658,0,7.4803e-13,7.4803e-13,7.4803e-13,6.6663,1.1845,-0.91973,0
-0.31267,-0.31267,0,1.0631e-12,1.0631e-12,1.0631e-12,6.6895,1.1703,-0.93802,0
-0.31907,-0.31907,0,9.7949e-13,9.7949e-13,9.7949e-13,6.7144,1.1544,-0.95722,0
